"Utility.ID","Plant.Code","Prime.Mover","Energy.Source.1","Technology","Nameplate.Capacity","Operating.Year.avg","Operating.Year.max","Operating.Year.min","Net.Generation..Megawatthours.","cap_fac"
11208,404,"CT","NG","Natural Gas Fired Combined Cycle",216.9,2016,2016,2016,539812,0.284104999673692
11208,404,"GT","NG","Natural Gas Fired Combustion Turbine",213.8,2016,2016,2016,180652,0.0964563818017949
11208,404,"ST","NG","Natural Gas Steam Turbine",326.4,1958.5,1959,1958,352527.55,0.123293109695362
11208,407,"HY","WAT","Conventional Hydroelectric",37.5,1953,1953,1953,31150,0.0948249619482496
11208,408,"CA","NG","Natural Gas Fired Combined Cycle",264.4,2004,2004,2004,681725,0.294336189805124
11208,408,"CT","NG","Natural Gas Fired Combined Cycle",365.6,2004,2004,2004,1124780,0.351202252130731
11208,408,"GT","NG","Natural Gas Fired Combustion Turbine",60.5,2002,2002,2002,8262,0.015589267519529
11208,55514,"CA","NG","Natural Gas Fired Combined Cycle",252.6,2003,2003,2003,1203552,0.543910454560245
11208,55514,"CT","NG","Natural Gas Fired Combined Cycle",348,2003,2003,2003,2220203,0.728298365086863
11208,56433,"WT","WND","Onshore Wind Turbine",135,2009,2009,2009,141609,0.119743784880771
11208,57305,"PV","SUN","Solar Photovoltaic",10,2012,2012,2012,16245,0.185445205479452
11208,57306,"PV","SUN","Solar Photovoltaic",8.5,2013,2013,2013,11443,0.153679828095622
11208,57310,"PV","SUN","Solar Photovoltaic",1.3,2011,2011,2011,1592,0.139796276782578
11208,57313,"PV","SUN","Solar Photovoltaic",1.2,2005,2005,2005,1576,0.149923896499239
11208,57635,"WT","WND","Onshore Wind Turbine",50,2010,2010,2010,142458,0.325246575342466
11208,57854,"HY","WAT","Conventional Hydroelectric",3.6,1993,1993,1993,0,0
11208,57854,"PS","WAT","Hydroelectric Pumped Storage",5.4,1993,1993,1993,0,0
11208,57871,"PV","SUN","Solar Photovoltaic",1,2012,2012,2012,1780,0.203196347031963
11208,58249,"PV","SUN","Solar Photovoltaic",3.5,2014,2014,2014,5896,0.192302674494455
11208,60914,"PV","SUN","Solar Photovoltaic",3,2016,2016,2016,0,0
11208,60953,"PV","SUN","Solar Photovoltaic",1,2016,2016,2016,115,0.0131278538812785
11208,6479,"HY","WAT","Conventional Hydroelectric",69.3,1952.5,1987,1917,68807,0.113343151014384
11208,6480,"HY","WAT","Conventional Hydroelectric",42,1924,1932,1920,1120,0.0030441400304414
11208,6481,"ST","BIT","Conventional Steam Coal",1640,1986.5,1987,1986,6932640.6,0.482559346809221
11216,10478,"CA","NG","Natural Gas Fired Combined Cycle",7.4,1988,1988,1988,36690,0.565994076268049
11216,10478,"CT","NG","Natural Gas Fired Combined Cycle",20.9,1988,1988,1988,147030,0.803073998820214
11216,10623,"CA","NG","Natural Gas Fired Combined Cycle",12.4,1989,1989,1989,0,0
11216,10623,"CT","NG","Natural Gas Fired Combined Cycle",22.1,1989,1989,1989,138771,0.716807165437302
11216,10884,"GT","NG","Natural Gas Fired Combustion Turbine",5.6,1987,1987,1987,17985.94,0.36664098173516
11217,10091,"CA","OBG","Other Waste Biomass",8.7,1986,1986,1986,30142.849,0.395513160657114
11217,10091,"CT","OBG","Other Waste Biomass",29.7,1996.66666666667,2003,1986,122255.29,0.469901795735129
11217,10472,"ST","LFG","Landfill Gas",50,1986,1986,1986,262567,0.59946803652968
11217,57163,"GT","LFG","Landfill Gas",13.8,2010,2010,2010,34529,0.285628019323672
11233,54240,"GT","NG","Natural Gas Fired Combustion Turbine",7.5,2004,2004,2004,46607,0.709391171993912
11241,1391,"GT","OG","Other Gases",302.4,1993,1999,1987,248866.68,0.0939465554105965
11241,1391,"ST","OG","Other Gases",148.5,1953,1954,1951,672280.93,0.516797295635195
11241,1393,"ST","NG","Natural Gas Steam Turbine",755,1965,1970,1960,332387.88,0.0502567177719314
11241,1393,"ST","PC","Petroleum Coke",227.2,1959,1959,1959,1607225.7,0.807540728101486
11241,1393,"ST","SUB","Conventional Steam Coal",614.6,1982,1982,1982,2202139.7,0.409023446961085
11241,1394,"ST","NG","Natural Gas Steam Turbine",831.2,1968.5,1973,1964,114083,0.0156679180894872
11241,1401,"GT","NG","Natural Gas Fired Combustion Turbine",20.7,1971,1971,1971,8856,0.0488385944014294
11241,1402,"ST","NG","Natural Gas Steam Turbine",1002.9,1967.5,1969,1966,2511400,0.28586050226034
11241,1403,"CA","NG","Natural Gas Fired Combined Cycle",260.1,2014,2014,2014,1657529.2,0.727472749328937
11241,1403,"CT","NG","Natural Gas Fired Combined Cycle",389.4,2014,2014,2014,2531188.1,0.742034959532638
11241,1403,"ST","NG","Natural Gas Steam Turbine",1790.2,1972,1973,1971,5011407,0.319561180123748
11241,1404,"CA","NG","Natural Gas Fired Combined Cycle",101,1974,1974,1974,728,0.00082282200822822
11241,1404,"CT","NG","Natural Gas Fired Combined Cycle",125.3,1973,1973,1973,-1347,-0.00122719172615859
11241,4270,"ST","NUC","Nuclear",1199.8,1985,1985,1985,10096757,0.9606583022589
11241,55165,"GT","NG","Natural Gas Fired Combustion Turbine",358.8,2000.5,2001,2000,423094,0.134610930397113
11241,55467,"CA","NG","Natural Gas Fired Combined Cycle",366,2002,2002,2002,1441970,0.449749856526187
11241,55467,"CT","NG","Natural Gas Fired Combined Cycle",537.9,2002,2002,2002,2461008,0.522284785836345
11241,55620,"CA","NG","Natural Gas Fired Combined Cycle",240.1,2002,2002,2002,1102177,0.524028705695306
11241,55620,"CT","NG","Natural Gas Fired Combined Cycle",397.8,2002,2002,2002,1705924,0.48954294280644
11241,55620,"GT","NG","Natural Gas Fired Combustion Turbine",186.2,2001,2001,2001,4575,0.00280483498374115
11241,6462,"ST","NUC","Nuclear",1035.9,1986,1986,1986,7055069,0.777462277744938
11241,8056,"GT","DFO","Petroleum Liquids",41,2009,2009,2009,2914,0.00811337565430449
11241,8056,"ST","NG","Natural Gas Steam Turbine",891,1975,1975,1975,840964.83,0.107744726565503
11249,1363,"CA","NG","Natural Gas Fired Combined Cycle",287,2015,2015,2015,1709477,0.679950439915358
11249,1363,"CT","NG","Natural Gas Fired Combined Cycle",520,2015,2015,2015,3172644,0.696488408851423
11249,1363,"GT","NG","Natural Gas Fired Combustion Turbine",16.3,1968,1968,1968,-34.888,-0.000244334257780766
11249,1364,"ST","BIT","Conventional Steam Coal",1717.2,1976.5,1982,1972,7896836.7,0.524962367058193
11249,1365,"HY","WAT","Conventional Hydroelectric",104.8,1928,1928,1928,316437,0.344684591655338
11249,1366,"GT","NG","Natural Gas Fired Combustion Turbine",226.6,1979,2001,1968,98707,0.0497260475482314
11249,1368,"GT","NG","Natural Gas Fired Combustion Turbine",18,1969,1969,1969,62,0.000393201420598681
11249,6071,"GT","NG","Natural Gas Fired Combustion Turbine",1194,2003.33333333333,2004,2002,855127,0.0817564802704542
11249,6071,"ST","BIT","Conventional Steam Coal",1400.1,2000.5,2011,1990,6749236.6,0.550289835787985
11251,2260,"HY","WAT","Conventional Hydroelectric",45.6,1936,1936,1936,136523,0.341772310342065
11251,2273,"HY","WAT","Conventional Hydroelectric",8.4,1936,1936,1936,29817,0.405210371819961
11252,1464,"GT","NG","Natural Gas Fired Combustion Turbine",265.6,2001,2001,2001,42089,0.0180899110139187
11252,1464,"ST","NG","Natural Gas Steam Turbine",227.2,1972,1972,1972,29341,0.0147422060904238
11252,6055,"ST","NG","Natural Gas Steam Turbine",626,1982,1982,1982,2452218.6,0.447178322902534
11252,6055,"ST","SUB","Conventional Steam Coal",1276.9,1982,1983,1981,3951852.6,0.353296832976269
11268,58254,"GT","NG","Natural Gas Fired Combustion Turbine",7.3,2014.5,2016,2013,129,0.00201726402702195
11269,3594,"HY","WAT","Conventional Hydroelectric",18,1940,1940,1940,33362,0.211580416032471
11269,3595,"HY","WAT","Conventional Hydroelectric",54.9,1942,1950,1938,45024,0.0936197819198044
11269,3597,"HY","WAT","Conventional Hydroelectric",54,1951,1951,1951,55574,0.117482665313716
11269,3598,"HY","WAT","Conventional Hydroelectric",15,1938,1938,1938,16479,0.12541095890411
11269,3599,"HY","WAT","Conventional Hydroelectric",39.6,1951,1951,1951,34982,0.100842903925096
11269,3600,"HY","WAT","Conventional Hydroelectric",108,1941,1941,1941,160861,0.170028961610012
11269,3601,"ST","NG","Natural Gas Steam Turbine",623,1968.33333333333,1972,1965,402187,0.0736946356193701
11269,4937,"CA","NG","Natural Gas Fired Combined Cycle",195,2014,2014,2014,1395926,0.817191195410373
